,forest,geoProv,geoDesc,order_r,soil_name,muSymb_x,Area,C_sum,N_sum,C_Mg
257,SEF,coastal plain,marine terraces,ultisols,duplin,Du,145.87,966.74,0,141018.56
208,HaEF,coastal plain,marine terraces,ultisols,harleston,Hl,30.44,306.86,0,9340.96
248,PEF,coastal plain,marine terraces,alfisols,kolin,KnB,119.71,103.34,12.29,12370.44
210,HaEF,coastal plain,marine terraces,ultisols,latonia,Lt,4.16,127.39,12.83,529.96
259,SEF,coastal plain,marine terraces,ultisols,lenoir,Le,175.32,0,300.99,0
274,SFAEF,coastal plain,marine terraces,alfisols,mollville,39,20.84,479.09,54.62,9984.3
275,SFAEF,coastal plain,marine terraces,alfisols,mollville,40,34.39,479.09,54.62,16476.01
283,SFAEF,coastal plain,marine terraces,alfisols,mollville,39,20.84,479.09,54.62,9984.3
284,SFAEF,coastal plain,marine terraces,alfisols,mollville,40,34.39,479.09,54.62,16476.01
262,SEF,coastal plain,marine terraces,ultisols,norfolk,NoA,6.5,170.01,18.16,1105.07
132,DEF,coastal plain,natural levees,alfisols,forestdale,Fb,1.2,99.05,9.87,118.86
318,TEF,coastal plain,natural levees,inceptisols,jena,11,12.23,0,0,0
5,ACEF,coastal plain,slopes,ultisols,leadvale,34,204.5,348.65,0,71298.97
71,CEF,coastal plain,slopes,ultisols,madison,Md,3.61,700.92,159.03,2530.33
72,CEF,coastal plain,slopes,ultisols,madison,Md,341.7,700.92,159.03,239505.26
73,CEF,coastal plain,slopes,ultisols,madison,MhF,347.02,700.92,159.03,243234.17
307,SSEF,piedmont,slopes,ultisols,madison,Md,629.67,350.46,79.52,220674.97
66,CEF,coastal plain,slopes,ultisols,madison,Md,3.61,700.92,159.03,2530.33
67,CEF,coastal plain,slopes,ultisols,madison,Md,341.7,700.92,159.03,239505.26
68,CEF,coastal plain,slopes,ultisols,madison,MhF,347.02,700.92,159.03,243234.17
304,SSEF,piedmont,slopes,ultisols,madison,Md,629.67,350.46,79.52,220674.97
78,CEF,coastal plain,slopes,ultisols,madison,Md,3.61,700.92,159.03,2530.33
79,CEF,coastal plain,slopes,ultisols,madison,Md,341.7,700.92,159.03,239505.26
80,CEF,coastal plain,slopes,ultisols,madison,MhF,347.02,700.92,159.03,243234.17
310,SSEF,piedmont,slopes,ultisols,madison,Md,629.67,350.46,79.52,220674.97
179,HEF,piedmont,slopes,ultisols,pacolet,Sen,2.69,460.84,27.53,1239.66
180,HEF,piedmont,slopes,ultisols,pacolet,PfE,132.65,460.84,27.53,61130.5
301,SSEF,piedmont,slopes,ultisols,pacolet,Pc,350.18,1305.71,78,457235.25
302,SSEF,piedmont,slopes,ultisols,pacolet,PfD2,79.97,1305.71,78,104418.02
174,HEF,piedmont,slopes,inceptisols,pacolet,Sen,2.69,921.68,55.06,2479.32
176,HEF,piedmont,slopes,ultisols,pacolet,PfE,132.65,921.68,55.06,122261
295,SSEF,piedmont,slopes,ultisols,pacolet,Pc,350.18,2611.43,156,914470.5
296,SSEF,piedmont,slopes,ultisols,pacolet,PfD2,79.97,2611.43,156,208836.04
1,ACEF,coastal plain,slopes,ultisols,carnasaw,21,34.16,975.16,0,33311.61
0,ACEF,coastal plain,slopes ,ultisols,carnasaw,12,1492.03,975.16,0,1454974.43
173,HEF,piedmont,"slopes, ridges",ultisols,davidson,Dg,771.73,1197.45,135.45,924109.63
299,SSEF,piedmont,"slopes, ridges",ultisols,helena,HnC,14.33,80.72,13.13,1156.78
300,SSEF,piedmont,"slopes, ridges",ultisols,lloyd,Ld,33.71,0,10.63,0
65,CEF,coastal plain,"slopes, ridges",ultisols,louisburg,LoF,60,0,0,0
146,EEF,coastal plain,"slopes, ridges",ultisols,saffell,Sa,52.9,181.05,11.92,9577.74
177,HEF,piedmont,"slopes, ridges",ultisols,vance,Va,423.84,0,104.26,0
74,CEF,coastal plain,"slopes, ridges",alfisols,wilkes,WkD,264.94,229.04,0,60680.93
75,CEF,coastal plain,"slopes, ridges",alfisols,wilkes,WkD,1058.17,229.04,0,242359.55
182,HEF,piedmont,"slopes, ridges",alfisols,wilkes,Wi,209.02,65.44,0,13678.06
58,CEF,coastal plain,"slopes, ridges",ultisols,cecil,Cl,69.1,316.79,46.48,21890.39
59,CEF,coastal plain,"slopes, ridges",ultisols,cecil,Cl,168.66,316.79,46.48,53430.3
178,HEF,piedmont,"slopes, ridges",ultisols,cecil,Cy,156.57,422.39,61.97,66133.7
297,SSEF,piedmont,"slopes, ridges",ultisols,cecil,Ce,272.67,1055.98,154.93,287933.11
298,SSEF,piedmont,"slopes, ridges",ultisols,cecil,HcB,5.33,1055.98,154.93,5628.35
69,CEF,coastal plain,"slopes, ridges",ultisols,cecil,Cl,69.1,158.4,23.24,10945.2
70,CEF,coastal plain,"slopes, ridges",ultisols,cecil,Cl,168.66,158.4,23.24,26715.15
181,HEF,piedmont,"slopes, ridges",ultisols,cecil,Cy,156.57,211.2,30.99,33066.85
305,SSEF,piedmont,"slopes, ridges",ultisols,cecil,Ce,272.67,527.99,77.46,143966.56
306,SSEF,piedmont,"slopes, ridges",ultisols,cecil,HcB,5.33,527.99,77.46,2814.18
76,CEF,coastal plain,"slopes, ridges",ultisols,cecil,Cl,69.1,158.4,23.24,10945.2
77,CEF,coastal plain,"slopes, ridges",ultisols,cecil,Cl,168.66,158.4,23.24,26715.15
183,HEF,piedmont,"slopes, ridges",ultisols,cecil,Cy,156.57,211.2,30.99,33066.85
308,SSEF,piedmont,"slopes, ridges",ultisols,cecil,Ce,272.67,527.99,77.46,143966.56
309,SSEF,piedmont,"slopes, ridges",ultisols,cecil,HcB,5.33,527.99,77.46,2814.18
175,HEF,piedmont,"slopes, ridges",ultisols,gwinnett,GgF2,3.91,0,0,0
34,BCEF,blue ridge,"slopes, ridges",ultisols,clifton,Ck,111.07,244.9,23.84,27201.02
151,EEF,coastal plain,"slopes, ridges",ultisols,lucy,Lu,44.58,137.23,11.5,6117.8
240,PEF,coastal plain,"slopes, ridges",ultisols,lucy,LuC,15.2,45.74,3.83,695.31
199,HaEF,coastal plain,"slopes, ridges",ultisols,smithdale,SsE,56.6,290.3,61.96,16431.08
241,PEF,coastal plain,"slopes, ridges",ultisols,smithdale,Sm,202.54,165.89,35.4,33598.7
323,TEF,coastal plain,"slopes, ridges",alfisols,smithdale,38,506.85,622.08,132.77,315298.82
324,TEF,coastal plain,"slopes, ridges",ultisols,smithdale,70,920.35,622.08,132.77,572526.92
200,HaEF,coastal plain,"slopes, ridges",ultisols,smithdale,SsE,56.6,290.3,61.96,16431.08
243,PEF,coastal plain,"slopes, ridges",ultisols,smithdale,Sm,202.54,165.89,35.4,33598.7
325,TEF,coastal plain,"slopes, ridges",alfisols,smithdale,38,506.85,622.08,132.77,315298.82
326,TEF,coastal plain,"slopes, ridges",ultisols,smithdale,70,920.35,622.08,132.77,572526.92
158,EEF,coastal plain,"slopes, ridges",ultisols,troup,47,1.55,243.58,29.07,377.55
159,EEF,coastal plain,"slopes, ridges",ultisols,troup,Tr,462.94,243.58,29.07,112763.7
163,EEF,coastal plain,"slopes, ridges",ultisols,troup,47,1.55,243.58,29.07,377.55
164,EEF,coastal plain,"slopes, ridges",ultisols,troup,Tr,462.94,243.58,29.07,112763.7
152,EEF,coastal plain,"slopes, ridges",ultisols,troup,47,1.55,243.58,29.07,377.55
153,EEF,coastal plain,"slopes, ridges",ultisols,troup,Tr,462.94,243.58,29.07,112763.7
4,ACEF,coastal plain,"slopes, ridges",ultisols,clebit,24,7.36,169.2,0,1245.28
23,BCEF,blue ridge,"slopes, ridges",ultisols,clifton,Ck,111.07,244.9,23.84,27201.02
24,BCEF,blue ridge,"slopes, ridges",ultisols,clifton,Ck,111.07,244.9,23.84,27201.02
48,BVEF,blue ridge,"slopes, ridges",ultisols,fannin,Fa,251.3,714.62,36.56,179583.17
101,CHL,blue ridge,"slopes, ridges",ultisols,fannin,Fa,132.92,357.31,18.28,47493.42
30,BCEF,blue ridge,"slopes, ridges",inceptisols,ashe,793,0.74,225.32,0,166.74
31,BCEF,blue ridge,"slopes, ridges",inceptisols,ashe,Ac,213.25,225.32,0,48050.42
