forest,muSymb,MUname,order,soil_name,Area,order_r,
SFAEF,10,Bernaldo-Besner complex,Alfisols,bernaldo,155.89,alfisols,
SFAEF,12,"Bienville loamy fine sand, 0 to 5 percent slopes",Alfisols,bienville,1.51,alfisols,
SFAEF,12,"Bienville loamy fine sand, 0 to 5 percent slopes
",Alfisols,bienville,12.47,alfisols,
SFAEF,27,"Iulus fine sandy loam, 0 to 1 percent slopes, frequently flooded",Inceptisols,iulus,59.62,inceptisols,
SFAEF,37,"Mantachie soils, frequently flooded",Inceptisols,mantachie,524.91,inceptisols,
SFAEF,39,Mollville loam,Alfisols,mollville,20.84,alfisols,
SFAEF,40,"Mollville-Besner complex, 0 to 1 percent slopes, frequently ponded",Alfisols,mollville,34.39,alfisols,
SFAEF,5,"Angelina soils, frequently flooded",Entisols,angelina,64.16,entisols,
SFAEF,56,Sacul fine sandy loam,Inceptisols,sacul,91.51,inceptisols,
SFAEF,67,"Woden fine sandy loam, 1 to 4 percent slopes",Alfisols,woden,2.34,alfisols,
SFAEF,67,"Woden fine sandy loam, 1 to 4 percent slopes
",Alfisols,woden,69.37,alfisols,
SFAEF,7,Attoyac fine sandy loam,Alfisols,attoyac,5.65,alfisols,
SFAEF,Ma,Matex clay loam,Entisols,matex,0.03,entisols,
SFAEF,W,Water,Water,water,2.63,water,
SSEF,AP,"Ashlar, Louisburg, and Pacolet soils, 2 to 35 percent slopes",Inceptisols and Ultisols,ashlar,33.46,inceptisols,
SSEF,COA,"Chewacla and Congaree soils, 0 to 2 percent slopes, frequently flooded",Entisols and Inceptisols,chewacla,150.49,entisols,
SSEF,Ca,"Cartecay loam, 0 to 2 percent slopes, frequently flooded",Entisols,cartecay,89.25,entisols,
SSEF,Cc,"Cataula-Cecil complex, 6 to 25 percent slopes, moderately  to severely eroded",Ultisols,cataula,78.82,ultisols,
SSEF,Ce,"Cecil gravelly sandy loam/sandy clay loam, 2 to 10 percent slopes, moderately to severely eroded",Ultisols,cecil,272.67,ultisols,
SSEF,Ch,"Chewacla silt loam, 0 to 2 percent slopes, occasionally flooded",Inceptisols,chewacla,44.99,inceptisols,
SSEF,HcB,"Hard Labor-Cecil complex, 2 to 6 percent slopes",Ultisols,cecil,5.33,ultisols,
SSEF,HnC,"Helena loamy sand, 6 to 10 percent slopes",Ultisols,helena,14.33,ultisols,
SSEF,Ld,"Lloyd gravelly loam, 2 to 30 percent slopes, moderately eroded",Ultisols,lloyd,33.71,ultisols,
SSEF,Md,"Madison sandy loam/sandy clay loam, 2 to 25 percent slopes",Ultisols,madison,629.67,ultisols,
SSEF,Pc,"Pacolet sandy loam, 6 to 25 percent slopes, moderately eroded",Ultisols,pacolet,350.18,ultisols,
SSEF,PfD2,"Pacolet-Cataula complex, 6 to 25 percent slopes, moderately eroded",Ultisols,pacolet,79.97,ultisols,
SSEF,To,"Toccoa fine sandy loam, occasionally flooded",Entisols,toccoa,14.66,entisols,
SSEF,W,Water,Water,water,6.28,water,
SSEF,WeA,"Wehadkee loam, 0 to 2 percent slopes, frequently flooded",Inceptisols,wehadkee,17.64,inceptisols,
SSEF,Wk,"Wickham sandy loam/fine sandy loam, 2 to 6 percent slopes, rarely flooded",Ultisols,wickham,71.72,ultisols,
TEF,10,Chenneby silt loam,Inceptisols,chenneby,1.25,inceptisols,
TEF,11,"Jena fine sandy loam, occasionally flooded",Inceptisols,jena,12.23,inceptisols,
TEF,18,"Arkabulta-Chenneby association, frequently flooded",Entisols/Inceptisols,arkabutla,234.71,entisols,
TEF,3,Lexington silt loam,Alfisols,lexington,41.34,alfisols,
TEF,38,smithdale,Alfisols/Ultisols,smithdale,506.85,alfisols,
TEF,40,"Ochlockonee-Bruno association, frequently flooded",Entisols,ochlockonee,3.40,entisols,
TEF,50,Maben fine sandy loam,Alfisols,maben,0.04,alfisols,
TEF,5C,Tippah silt loam,Alfisols,tippah,10.20,alfisols,
TEF,70,Smithdale-Toinette association,Ultisols,smithdale,920.35,ultisols,
TEF,Sw,Swamp,Swamp,swamp,0.00,swamp,
TEF,W,Water,Water,water,55.15,water,
ChEF,2,"Albany loamy sand, 0 to 5 percent slopes",Ultisols,albany,5.69,ultisols,
ChEF,20,"Dorovan-Pamlico-Rutlege association, depressional",Histols,dorovan,3.34,histosols,
ChEF,20,"Dorovan-Pamlico-Rutlege association, depressional",Histosols/Inceptisols,dorovan,1.88,histosols,
ChEF,31,"Foxworth sand, 0 to 5 percent slopes",Entisols,foxworth,63.14,entisols,
ChEF,32,"Fuquay loamy sand, 0 to 2 percent slopes",Ultisols,fuquay,3.32,ultisols,
ChEF,35,"Hurricane sand, 0 to 2 percent slopes",Spodosols,hurricane,75.30,spodosols,
ChEF,36,"Lakeland sand, 0 to 5 percent slopes",Entisols,lakeland,38.46,entisols,
ChEF,39,"Leefield loamy sand, 0 to 5 percent slopes",Ultisols,leefield,0.61,ultisols,
ChEF,51,"Plummer sand, 0 to 5 percent slopes",Ultisols,plummer,6.17,ulstisols,
ChEF,55,Pottsburg sand,Spodosols,pottsburg,79.05,spodosols,
ChEF,64,"Pamlico, Bibb, and Rutlege soils, frequently flooded",Entisols,pamlico,41.43,entisols,
ChEF,64,"Pamlico, Bibb, and Rutlege soils, frequently flooded",Entisols/Histosols/Inceptisols,pamlico,5.36,entisols,
ChEF,66,"Lakeland and Troup soils, 8 to 12 percent slopes",Ultisols/Entisols,lakeland,3.63,ultisols,
